Comment,Designator,Footprint,LCSC,Quantity
2.2uF,"C1,C4",C_0402_1005Metric,C12530,2
TC4426xOA,U4,SOIC-8_3.9x4.9mm_P1.27mm,C148047,1
0.01uF,"C2,C3",C_0402_1005Metric,C15195,2
10uF,"C12,C7",C_0402_1005Metric,C15525,2
3.3nF,C9,C_0603_1608Metric,C1613,1
100R,"R17,R21",R_0805_2012Metric,C17408,2
6.8k,R5,R_0805_2012Metric,C17772,1
4.7µF,C11,C_0805_2012Metric,C1779,1
1uF,C6,C_0402_1005Metric,C1848,1
HX SS12D10G6,SW2,SolderWire-0.75sqmm_1x03_P4.8mm_D1.25mm_OD2.3mm,C19189121,1
TP4056-42-ESOP8,U7,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,C21417,1
220kR,"R13,R2,R3",R_0603_1608Metric,C22961,3
27kR,R12,R_0603_1608Metric,C22967,1
3.3k,R9,R_0603_1608Metric,C22978,1
1N4734A-TAP,D1,D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp,C241984,1
12kR,"R15,R7",R_0402_1005Metric,C25752,2
10k,"R10,R11,R18,R8",R_0603_1608Metric,C25804,4
18kR,R14,R_0603_1608Metric,C25810,1
MT3608L,U9,SOT-23-6,C2932326,1
TPTLV70033DDCR,U8,SOT-23-5,C2937039,1
USB_C_Receptacle_USB2.0_14P,J3,USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal,C3151746,1
22k,R20,R_0603_1608Metric,C31850,1
20k,"R19,R6",R_0603_1608Metric,C4184,2
1k,"R16,R22,R23,R4",R_1206_3216Metric,C4410,4
TPS82130,U6,Texas_SIL0008D_MicroSiP-8-1EP_2.8x3mm_P0.65mm_EP1.1x1.9mm_ThermalVias,C473914,1
CRS08,D2,D_1206_3216Metric,C475662,1
DRV8833PWPR,"U2,U3",TSSOP-16_4.4x5mm_P0.65mm,C50506,2
PMOS,"Q1,Q2,Q3",SOT-23,C5224173,3
4.7uH,L1,L_1008_2520Metric,C5832360,1
22uF,"C10,C13,C8",C_0603_1608Metric,C59461,3
1mR,R1,R_1206_3216Metric,C7419993,1
NMOS,Q4,SOT-23,C8545,1
INA219AIDCNR,U1,SOT-23-8,C87469,1
CH224K,U5,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,C970725,1
